sampled_at_utc	tcfs_pids	s3_established_sockets	highwater	limit
2026-05-14T02:15:14Z	87115	0	0	8
2026-05-14T02:15:19Z	87366	0	0	8
2026-05-14T02:15:24Z	87410	0	0	8
2026-05-14T02:15:29Z	87637	0	0	8
2026-05-14T02:15:34Z	87748	0	0	8
2026-05-14T02:15:39Z	87764	0	0	8
2026-05-14T02:15:44Z	87792	0	0	8
2026-05-14T02:15:50Z	87807	0	0	8
2026-05-14T02:15:55Z	87842	0	0	8
2026-05-14T02:16:00Z	87862	0	0	8
2026-05-14T02:16:05Z	87898	0	0	8
2026-05-14T02:16:10Z	87932	0	0	8
2026-05-14T02:16:15Z	87954	0	0	8
2026-05-14T02:16:20Z	87970	0	0	8
2026-05-14T02:16:26Z	87981	0	0	8
2026-05-14T02:16:31Z	88818	0	0	8
2026-05-14T02:16:36Z	88992	0	0	8
2026-05-14T02:16:41Z	89009	0	0	8
2026-05-14T02:16:46Z	89251	0	0	8
2026-05-14T02:16:51Z	89479	0	0	8
2026-05-14T02:16:57Z	89706	0	0	8
2026-05-14T02:17:02Z	89753	0	0	8
2026-05-14T02:17:07Z	89770	0	0	8
2026-05-14T02:17:12Z	90569	0	0	8
2026-05-14T02:17:17Z	90819	0	0	8
2026-05-14T02:17:22Z	90862	0	0	8
2026-05-14T02:17:27Z	90959	0	0	8
2026-05-14T02:17:32Z	90974	0	0	8
2026-05-14T02:17:37Z	91680	0	0	8
2026-05-14T02:17:42Z	91695	0	0	8
2026-05-14T02:17:47Z	91708	0	0	8
2026-05-14T02:17:53Z	92273	0	0	8
2026-05-14T02:17:58Z	92293	0	0	8
2026-05-14T02:18:03Z	92319	0	0	8
2026-05-14T02:18:08Z	92334	0	0	8
2026-05-14T02:18:13Z	92495	0	0	8
2026-05-14T02:18:18Z	92537	0	0	8
2026-05-14T02:18:24Z	92574	0	0	8
2026-05-14T02:18:29Z	92667	0	0	8
2026-05-14T02:18:34Z	92779	0	0	8
2026-05-14T02:18:39Z	92909	0	0	8
2026-05-14T02:18:44Z	92946	0	0	8
2026-05-14T02:18:49Z	92958	0	0	8
2026-05-14T02:18:54Z	92978	0	0	8
2026-05-14T02:19:00Z	93009	0	0	8
2026-05-14T02:19:05Z	93367	0	0	8
2026-05-14T02:19:10Z	93414	0	0	8
2026-05-14T02:19:15Z	93440	0	0	8
2026-05-14T02:19:20Z	93467,93475	8	8	8
2026-05-14T02:19:25Z	93467,93602	8	8	8
2026-05-14T02:19:30Z	93467,93617	10	10	8
2026-05-14T02:19:35Z	93467,93639	8	10	8
2026-05-14T02:19:41Z	93467,93759	9	10	8
2026-05-14T02:19:46Z	93467,93783	9	10	8
2026-05-14T02:19:51Z	93467,93889	9	10	8
2026-05-14T02:19:57Z	93467,93909	9	10	8
2026-05-14T02:20:04Z	93467,93926	9	10	8
2026-05-14T02:20:09Z	93467,93941	9	10	8
2026-05-14T02:20:14Z	93467,94091	9	10	8
2026-05-14T02:20:19Z	93467,94109	8	10	8
2026-05-14T02:20:24Z	93467,94126	8	10	8
2026-05-14T02:20:29Z	93467,94156	8	10	8
2026-05-14T02:20:34Z	93467,94176	8	10	8
2026-05-14T02:20:39Z	93467,94189	8	10	8
2026-05-14T02:20:44Z	93467,94222	8	10	8
2026-05-14T02:20:50Z	93467,94238	9	10	8
2026-05-14T02:20:55Z	93467,94260	9	10	8
2026-05-14T02:21:00Z	93467,94273	9	10	8
2026-05-14T02:21:05Z	93467,94289	8	10	8
2026-05-14T02:21:10Z	93467,94379	8	10	8
2026-05-14T02:21:15Z	93467,94688	8	10	8
2026-05-14T02:21:20Z	93467,94964	8	10	8
2026-05-14T02:21:25Z	93467,94996	8	10	8
2026-05-14T02:21:30Z	93467,95028	8	10	8
2026-05-14T02:21:35Z	93467,95051	8	10	8
2026-05-14T02:21:40Z	93467,95306	8	10	8
2026-05-14T02:21:45Z	93467,95323	8	10	8
2026-05-14T02:21:51Z	93467,95344	8	10	8
2026-05-14T02:21:56Z	93467,95362	8	10	8
2026-05-14T02:22:01Z	93467,95385	8	10	8
2026-05-14T02:22:06Z	93467,95401	8	10	8
2026-05-14T02:22:11Z	93467,95418	8	10	8
2026-05-14T02:22:16Z	93467,95435	8	10	8
2026-05-14T02:22:21Z	93467,95457	8	10	8
2026-05-14T02:22:26Z	93467,95476	8	10	8
2026-05-14T02:22:31Z	93467,95491	8	10	8
2026-05-14T02:22:36Z	93467,95512	8	10	8
2026-05-14T02:22:41Z	93467,95529	8	10	8
2026-05-14T02:22:46Z	93467,95550	8	10	8
2026-05-14T02:22:51Z	93467,95716	8	10	8
2026-05-14T02:22:57Z	93467,95823	8	10	8
2026-05-14T02:23:02Z	93467,95989	8	10	8
2026-05-14T02:23:07Z	93467,96097	8	10	8
2026-05-14T02:23:12Z	93467,96125	8	10	8
2026-05-14T02:23:17Z	93467,96161	8	10	8
2026-05-14T02:23:22Z	93467,96174	8	10	8
2026-05-14T02:23:27Z	93467,96298	8	10	8
2026-05-14T02:23:32Z	93467,96316	0	10	8
2026-05-14T02:23:37Z	93467,96356	0	10	8
2026-05-14T02:23:42Z	93467,96407	0	10	8
2026-05-14T02:23:48Z	93467,96425	0	10	8
